Name	Spectrum	Select	MDV	Std
Glc	m0	1	0.588062370736842	1
Glc	m1	1	0.07660313975921139	1
Glc	m2	1	0.07804055960468516	1
Glc	m3	1	0.08484207636092561	1
Glc	m4	1	0.02007647301828294	1
Glc	m5	1	0.005197704326305234	1
Glc	m6	1	0.1471776761937476	1
G6P	m0	1		1
G6P	m1	1		1
G6P	m2	1		1
G6P	m3	1		1
G6P	m4	1		1
G6P	m5	1		1
G6P	m6	1		1
Pyr	m0	1	0.9981391075966839	1
Pyr	m1	1	0.0	1
Pyr	m2	1	0.0	1
Pyr	m3	1	0.001860892403316102	1
Cit	m0	1	0.692107614118507	1
Cit	m1	1	0.09512855883317654	1
Cit	m2	1	0.2057655407484464	1
Cit	m3	1	0.002151235616563684	1
Cit	m4	1	0.004847050683306339	1
Cit	m5	1	0.0	1
Cit	m6	1	0.0	1
Suc	m0	1	0.8633416707249348	1
Suc	m1	1	0.08365884636791955	1
Suc	m2	1	0.05093826925401112	1
Suc	m3	1	0.00206121365313455	1
Suc	m4	1	0.0	1
Fum	m0	1	0.9694718155247078	1
Fum	m1	1	0.008764012623550681	1
Fum	m2	1	0.02176417185174142	1
Fum	m3	1	0.0	1
Fum	m4	1	0.0	1
Mal	m0	1	0.8188574106779047	1
Mal	m1	1	0.1091787862069663	1
Mal	m2	1	0.05706701478855032	1
Mal	m3	1	0.01323276375311242	1
Mal	m4	1	0.00166402457346628	1
Lac	m0	1	0.8209981993686263	1
Lac	m1	1	0.03595295854837505	1
Lac	m2	1	0.03075339290657887	1
Lac	m3	1	0.1122954491764198	1
Glu	m0	1	0.8458277009486156	1
Glu	m1	1	0.07282522728830124	1
Glu	m2	1	0.07034990613513026	1
Glu	m3	1	0.01099716562795282	1
Glu	m4	1	0.0	1
Glu	m5	1	0.0	1
Asp	m0	1	0.8962125543564606	1
Asp	m1	1	0.08969042466953864	1
Asp	m2	1	0.01409702097400075	1
Asp	m3	1	0.0	1
Asp	m4	1	0.0	1
Ser	m0	1	1.0	1
Ser	m1	1	0.0	1
Ser	m2	1	0.0	1
Ser	m3	1	0.0	1
F6P	m0	1		1
F6P	m1	1		1
F6P	m2	1		1
F6P	m3	1		1
F6P	m4	1		1
F6P	m5	1		1
F6P	m6	1		1
