 ,LI_01.txt,LI_02.txt,LI_03.txt,KI_01.txt,KI_02.txt,KI_03.txt,SP_01.txt,SP_02.txt,SP_03.txt
C12,0.47,0.62,0.45,0.47,0.62,0.45,0.47,0.62,0.45
C13,0.53,0.38,0.55,0.53,0.38,0.55,0.53,0.38,0.55
