Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,20097.697591659562,15497.93709052005,16188.931178580642,16438.398881811565,17519.56713987562,20445.05390488098,15304.494533695579,16156.329989642312,16299.286661745402,17457.861153897204,20059.402385802518
Thres,,,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),194.34520404796274,199.97750250755456,199.5907035616912,199.9929427018988,199.94071932239953,199.65869868168778,199.9292842087388,199.58398002411496,199.99999794425375,199.9559233125407,199.29390204569415,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),33.044351746325866,186.73468787820096,172.25995792152926,155.55690848433545,165.39416722246386,153.42047774368663,187.50576109128409,172.6641844262839,155.46800495372656,165.43808802244288,154.9271602093763,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),46.03289388652876,199.72323001840374,199.88182203776213,199.59856815693678,196.7743562603789,195.73028879781177,199.72133363537557,199.8804534118321,199.56069400287592,196.7758552495774,195.95237634414778,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),8.5022651360967,3.807083325059649,1.5948655769227216,18.08039077611489,2.682423934996752,3.274369934682106,4.0922788062282525,1.7726265365112184,18.071819999299073,2.6860673359016616,3.963789200239084,fitting,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),19.415798611729855,185.80994308297977,171.51305172032826,156.12507890250612,179.07242080295285,154.0845826425102,186.195711347343,171.69547591188297,156.0981985859378,179.07944585201915,154.89357157469388,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),31.920381074156587,198.3145255454064,197.54653242077248,196.31864673605753,197.41093753219096,188.73491453943316,198.40447745681385,197.54745231426412,196.3221086401919,197.41238836040907,188.7186064081005,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),135.96770882866196,3.2552843382543593,0.01218968784306007,169.83578245893972,0.02373437587273175,180.27761289882625,3.3665779704570484,1.866533457928199e-05,169.8220980392161,0.018017385566948985,180.24027279025688,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),132.75835932400057,0.045934833592957774,10.532898844597744,190.20003105877828,3.48940108113328,197.32652742948792,0.0011447710553576884,10.524192157208875,190.22501853055908,3.4910668892324415,197.33758478816674,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),70.12409741656114,0.0024942808275998374,162.99972038780365,1.6403468685608829,0.02546440572058728,0.04654823788445839,0.2630871614040817,163.06405382089432,1.535046896024724,0.009877652307736184,0.6583877366669952,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),79.17735053543844,9.055747399704753,198.75971853710817,60.27411738242592,15.30881168588077,47.916055086868006,9.103016854162934,198.75805742356619,60.227487944174186,15.31345730499085,47.980643917301045,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),70.68611764850222,0.5653843571971642,161.7446401760061,0.9959540333837822,1.1099574282209357,1.7244757465357452,0.26554813402492883,161.73685350619763,0.9719757833052967,1.1178565211325555,2.0492563992897175,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),89.50338322245891,19.38264993115373,199.6872324619917,62.193289488343325,17.00964661821972,58.886910731091156,19.330075840381816,199.6868611098647,62.18854247241454,17.00526414516836,59.06273800177187,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),51.1539898056804,68.94003911560577,53.746208322805785,27.68127868587235,77.69986055444159,56.45799950258518,68.86811868615523,53.79019134357827,27.684359473030305,77.71133306897427,56.79177913799645,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),61.643803216350626,64.7565833182219,32.1334640376933,11.567739361523971,68.44434148113059,61.53576679038316,63.94260268453485,31.75787361121264,11.353048478176074,68.33442801736865,60.62520907816691,free,1.0,1.0,0.0,200.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),75.47617937085965,75.54230024614999,88.4449646223753,48.880729960389786,90.165859014431,77.56232955110639,74.57561565538903,88.07558109666053,48.66930036822016,90.06085434854198,76.8001324995578,free,1.0,1.0,0.0,200.0,AB+CDEF-->FEDBAC,no
