Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,21348.198729817363,13915.508765456008,14995.578137647772,16138.493436973858,17196.024405947635,18001.924895133452,13811.083546438462,14989.229201467964,15956.116577339819,17172.619875771274,17686.606718790536
Thres,,,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r22_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r),56.02186554601929,165.75836920028522,178.18016877451606,165.58417248681016,162.5278365822719,168.95265001789093,165.74386934256503,178.18031062092754,165.59650046375037,162.528389662917,168.93824229780682,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r23_fh,Fum-->Mal,(kegg:R01082f),180.9638976612855,198.93548056794816,199.61010522259548,199.55167455690685,199.5189800817455,199.18592082870282,198.74793282190151,199.60889699836653,199.3281600894802,199.4751847913302,199.1943371966098,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r24_fh,Mal-->Fum,(kegg:R01082r),146.93235514106456,165.74347047675147,178.0476269724661,165.98245699391657,162.6236776685228,168.38782034357848,165.7430115483481,178.0515541492268,165.975418662053,162.6223119544061,168.4457938724705,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r25_mdh,Mal-->Oxa+NADH,(kegg:R00343f),96.40821347002019,97.98940262906859,178.49208742380904,162.8145225920821,167.9110272784462,174.2077481643552,97.83483052860176,178.49024116798074,162.83139461960045,167.91080598272077,174.2068642809299,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r26_mdh,Oxa+NADH-->Mal,(kegg:R00343r),133.1434481355139,199.14068846977997,199.52075957965974,199.54975725757583,199.155976043674,199.69011624348724,199.13133512078483,199.51918920487938,199.55739355903196,199.15692824306205,199.6721848851819,free,1.0,1.0,0.0,200.0,ABCD-->ABCD,no
r27_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344),146.33223541880668,155.73916781472823,148.4580230590855,199.9761593377428,187.47662712508492,199.94581381299886,155.6210813111569,148.44782086665452,199.5276370434429,187.42746997934196,199.0172548364959,free,1.0,1.0,0.0,200.0,ABC+D-->ABCD,no
r28_mae,Mal-->Pyr+CO2in+NADPH,(kegg:R00216),69.57287816225244,62.71763677491,31.746782315309908,76.23030558477942,68.91416917468415,76.38700713060057,62.93241770329223,31.75080973830737,76.18232788808868,68.93037595738696,76.81861626619778,free,1.0,1.0,0.0,200.0,ABCD-->ABC+D,no
r29_g6pdh,G6P-->m6PG+NADPH,(kegg:R00835),26.06229347930425,0.2255763188671316,42.507839132667954,26.062293479304255,5.150673064881003,1.2673950544799348,0.2166408124583462,42.50074367846918,25.803349618174813,5.1472930571011455,0.4082502614379462,free,1.0,1.0,0.0,50.0,ABCDEF-->ABCDEF,no
r30_pgd,m6PG-->Ru5P+CO2in+NADPH,(kegg:R01528),26.062293479304255,0.22557631886713247,42.507839132667954,26.06229347930426,5.150673064881001,1.267395054479933,0.21664081245834715,42.50074367846918,25.803349618174817,5.147293057101145,0.4082502614379444,free,1.0,1.0,0.0,50.0,ABCDEF-->BCDEF+A,no
r31_ri,Ru5P-->R5P,(kegg:R01056f),39.496067663518,49.02044893976262,49.29129791795873,49.732750963034,49.81112093972812,49.51688049076376,49.067069809423025,49.28735143205555,49.71823869694051,49.8366494257451,49.305857878622746,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r32_ri,R5P-->Ru5P,(kegg:R01056r),32.38778452955531,49.53650169061817,35.5828450127187,42.624467829071314,47.413933593073075,45.99634882840207,49.551375481487604,35.57959717577486,42.6327421272651,47.426815566652124,46.02757218922861,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r33_rbe,Ru5P-->Xu5P,(kegg:R01529f),29.148238042133723,49.71252813451259,49.65732429078332,49.848967920281474,49.354744471823366,46.952032827591935,49.67301664440562,49.65219600028549,49.587914120081464,49.34073258679162,46.33688903651942,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r34_rbe,Xu5P-->Ru5P,(kegg:R01529r),10.194227696792158,48.970899064789904,20.857938063355398,30.894957574939912,46.60125875359743,49.205169435473714,48.97207015988268,20.859206578097016,30.870061071582064,46.60327338878346,49.206924464475634,free,1.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r35_tkt,R5P+Xu5P-->S7P+GAP,(kegg:R01641f),20.307425496538272,49.01362175750157,49.97593921018164,49.846671730920434,49.756201913927605,48.11141586588397,48.989211213985094,49.97059939539224,49.73322030345952,49.75366896939748,47.83360954717245,free,1.0,1.0,0.0,50.0,ABCDE+FGHIJ-->FGABCDE+HIJ,no
r36_tkt,GAP+S7P-->Xu5P+R5P,(kegg:R01641r),10.830420323867482,48.642807222640215,35.57624609646768,40.36966655824965,48.37945905481463,49.237984169824855,48.63873797172362,35.574104684298,40.374293779209815,48.3849393703934,49.268627261150556,free,1.0,1.0,0.0,50.0,HIJ+FGABCDE-->FGHIJ+ABCDE,no
r37_tal,GAP+S7P-->F6P+E4P,(kegg:R08575f),11.017257023317656,49.909400167121944,49.979249967604645,49.89798040160124,49.673111120330226,48.80723073198494,49.86799093551843,49.978209137114845,49.78831091918579,49.66963382411474,48.5259800892355,free,1.0,1.0,0.0,50.0,ABC+DEFGHIJ-->DEFABC+GHIJ,no
r38_tal,E4P+F6P-->S7P+GAP,(kegg:R08575r),1.5402518506468772,49.538585632260606,35.579556853890686,40.42097522893046,48.29636826121725,49.93379903592583,49.51751769325696,35.58171442602061,40.42938439493609,48.30090422511066,49.96099780321361,free,1.0,1.0,0.0,50.0,GHIJ+DEFABC-->DEFGHIJ+ABC,no
r39_tkt,E4P+Xu5P-->F6P+GAP,(kegg:R01067f),17.075459091152887,49.295657292649665,49.92661162509094,49.94363834467223,49.86210815024471,48.83618665535699,49.26896398220771,49.928032031597056,49.84849308651218,49.862874214561096,48.56060565501945,free,1.0,1.0,0.0,50.0,ABCD+EFGHI-->EFABCD+GHI,no
r40_tkt,GAP+F6P-->Xu5P+E4P,(kegg:R01067r),7.5984539184821065,48.924842757788326,35.52691851137698,40.46663317200145,48.485365291131735,49.96275495929788,48.91849073994624,35.53153732050282,40.48956656226248,48.49414461555702,49.995623368997556,free,1.0,1.0,0.0,50.0,GHI+EFABCD-->EFGHI+ABCD,no
r41_ldh,Pyr+NADH-->Lac,(kegg:R00703f),170.36717901868684,195.73434368808282,198.59920663834984,197.724468522236,199.09237626082734,198.1558721342452,195.86922091920002,198.63468492740776,198.70257495936647,199.11188023130688,199.41707921079154,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r42_Lac_ex,Lac-->LacEx,(kegg:Lac_ex),0.13563326900387665,0.02880637927394506,0.0032606583168836747,0.05369624377650416,0.06242026778863074,0.25576491479460994,2.329814924038792e-08,3.296670397653626e-08,8.045930579717417e-08,4.904966654965622e-08,4.8371180340376916e-09,fitting,1.0,1.0,0.0,5.0,nd,no
r46_SubsGln,SubsGln-->Gln,(kegg:SubsGln),4.250057401226332,0.07065714434648962,0.0029859876362055005,7.955246868984744e-05,0.0024127408495367222,0.04839772535884945,0.07486654879713939,1.8871595841574162e-08,4.1817134075472495e-06,1.7851889837910973e-08,0.09189174867608574,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r47_gls,Gln-->Glu,(kegg:R00256),46.472994222895764,29.89168088018814,0.34538458629178503,0.09873613560899841,97.08700142905664,8.486342147233918,29.88500261531543,0.3538929888083233,0.18451809286817777,97.11299831237818,8.482521300580402,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r49_gludh,Glu-->aKG+NADPH,(kegg:R00243f),50.83139064478192,0.06905855994645727,59.23233131794052,0.17676146029385453,95.27344703029702,0.059870774828355344,0.09209193147993489,59.23549087314055,0.2312402259419093,95.31276297668329,0.21450638151802348,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r50_gludh,aKG+NADPH-->Glu,(kegg:R00243r),55.893166753087804,3.8972886404740614,67.01256688374177,5.238537568599742,99.6562234677242,5.64420072305703,3.8811628485204253,67.01210550171412,5.261098756234815,99.6769129596416,5.674495420701017,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r51_glul,Glu-->Gln,(kegg:R00253)),46.936630146886465,33.691610012525786,5.550965781956299,4.804303439546841,97.12213891284556,10.125404023657419,33.67402556924587,5.556847236218296,4.809727158568668,97.1307515158063,10.080934837382422,free,1.0,1.0,0.0,100.0,ABCDE-->ABCDE,no
r54_asp,Oxacyt-->Asp,(kegg:R00355),9.890237010700861,0.7178896773284436,1.1147486596102922,5.309346143704786,0.22515124140528187,2.2141833829296167,0.5430509945111908,1.0880537519879354,4.716258414861731,0.21815688821624413,0.8579740834686858,free,1.0,1.0,0.0,10.0,ABCD-->ABCD,no
r55_Asp_ex,Asp-->AspEx,(kegg:Asp_ex),7.969806891083895,0.3568593106118527,0.20641463575594088,4.094923534928618,0.004098850956840039,1.9829483532211536,0.29271379315228785,0.18440219283520065,3.531591612012793,9.851958200357558e-07,0.6398177073652525,fitting,0.79,1.0,0.0,10.0,nd,no
r58_gpt_m,Pyr-->Ala,(kegg:R00258),4.0086357951751665,0.03456285620221422,0.018047334551340555,0.3568228243716334,0.002134596563251989,0.058041807067894524,3.901904221947916e-07,1.4094897267113993e-06,0.16039513385754844,3.332054276938834e-07,2.09913233462089e-08,free,1.0,1.0,0.0,10.0,ABC-->ABC,no
r59_Ala_ex,Ala-->AlaEx,(kegg:Ala_ex),8.929728826173815,0.9383780050724511,1.0491013141289471,0.07768471128392207,0.9696774943285327,0.9513114950633046,0.9175692369084913,1.0377942129746884,6.326833528191855e-07,0.998266838022321,0.9087783164800287,fitting,1.0,1.0,0.0,10.0,nd,no
