Name	Spectrum	Select	MDV	Std
Glc	m0	1	0.953512579	1
Glc	m1	1	0.002367758	1
Glc	m2	1	0.005557007	1
Glc	m3	1	0.038457582	1
Glc	m4	1	0	1
Glc	m5	1	0	1
Glc	m6	1	0.000105074	1
Pyr	m0	1	0.93830712	1
Pyr	m1	1	0	1
Pyr	m2	1	0.007509754	1
Pyr	m3	1	0.054183126	1
Lac	m0	1	0.964191659	1
Lac	m1	1	0.006168021	1
Lac	m2	1	0.004431425	1
Lac	m3	1	0.025208895	1
Suc	m0	1	0.89141982	1
Suc	m1	1	0.054623703	1
Suc	m2	1	0.042738026	1
Suc	m3	1	0.010735153	1
Suc	m4	1	0.000483297	1
Asp	m0	1	0.828640003	1
Asp	m1	1	0.103002879	1
Asp	m2	1	0.055424202	1
Asp	m3	1	0.012828603	1
Asp	m4	1	0.000104314	1
Mal	m0	1	0.794751035	1
Mal	m1	1	0.11707701	1
Mal	m2	1	0.072126428	1
Mal	m3	1	0.015242819	1
Mal	m4	1	0.000802709	1
Glu	m0	1	0.788820381	1
Glu	m1	1	0.091886886	1
Glu	m2	1	0.093970756	1
Glu	m3	1	0.024212446	1
Glu	m4	1	0.001030731	1
Glu	m5	1	7.88009E-05	1
Gln	m0	1	0.946474417	1
Gln	m1	1	0.010167002	1
Gln	m2	1	0.041752103	1
Gln	m3	1	0.0014568	1
Gln	m4	1	7.72834E-05	1
Gln	m5	1	7.23947E-05	1
Cit	m0	1	0.943061556	1
Cit	m1	1	0	1
Cit	m2	1	0.033380244	1
Cit	m3	1	0.005197254	1
Cit	m4	1	0.001164642	1
Cit	m5	1	0.00180015	1
Cit	m6	1	0.015396154	1
