Name	Spectrum	Select	MDV	Std
Glc	m0	1	0.958127113	1
Glc	m1	1	0.002720716	1
Glc	m2	1	0.005800258	1
Glc	m3	1	0.033309637	1
Glc	m4	1	0	1
Glc	m5	1	0	1
Glc	m6	1	4.22763E-05	1
Pyr	m0	1	0.954453192	1
Pyr	m1	1	0	1
Pyr	m2	1	0.007201788	1
Pyr	m3	1	0.038345021	1
Lac	m0	1	0.968025371	1
Lac	m1	1	0.006225614	1
Lac	m2	1	0.004124771	1
Lac	m3	1	0.021624244	1
Suc	m0	1	0.900670743	1
Suc	m1	1	0.055535574	1
Suc	m2	1	0.037071421	1
Suc	m3	1	0.006599495	1
Suc	m4	1	0.000122768	1
Asp	m0	1	0.812517901	1
Asp	m1	1	0.121421791	1
Asp	m2	1	0.057051065	1
Asp	m3	1	0.008979916	1
Asp	m4	1	2.93271E-05	1
Mal	m0	1	0.790814356	1
Mal	m1	1	0.12827054	1
Mal	m2	1	0.069377383	1
Mal	m3	1	0.011064403	1
Mal	m4	1	0.000473317	1
Glu	m0	1	0.78520333	1
Glu	m1	1	0.098431929	1
Glu	m2	1	0.093445106	1
Glu	m3	1	0.021687835	1
Glu	m4	1	0.001163008	1
Glu	m5	1	6.87921E-05	1
Gln	m0	1	0.918435266	1
Gln	m1	1	0.035990114	1
Gln	m2	1	0.042817514	1
Gln	m3	1	0.002677189	1
Gln	m4	1	5.20107E-05	1
Gln	m5	1	2.79051E-05	1
Cit	m0	1	0.935815069	1
Cit	m1	1	0.010054275	1
Cit	m2	1	0.033030627	1
Cit	m3	1	0.006048996	1
Cit	m4	1	0.000995511	1
Cit	m5	1	0.00263384	1
Cit	m6	1	0.011421683	1
